id,value
id_0,38.035940382
id_1,13.7023624883
id_2,8.07008791876
id_3,16.9221772351
id_4,26.7030823375
id_5,102.539456188
id_6,28.1491508997
id_7,36.1294526426
id_8,39.8003359682
id_9,20.8438268954
id_10,24.863388853
id_11,39.0190901605
id_12,41.3942830733
id_13,15.235924922
id_14,26.0027798986
id_15,41.3234222303
id_16,32.1191860315
id_17,53.0777694984
id_18,24.1127432583
id_19,10.6877751957
id_20,30.3701444244
id_21,31.9492924008
id_22,43.6795562335
id_23,43.5940606612
id_24,17.366064166
id_25,14.0480588694
id_26,45.3384442203
id_27,32.2711142037
id_28,63.9663238472
id_29,18.4741465473
id_30,16.3781581889
id_31,45.799825011
id_32,35.9037692484
id_33,35.399591592
id_34,55.3261689975
id_35,37.6555782679
id_36,14.5127160068
id_37,47.9685958426
id_38,22.8647779794
id_39,0.464146116016
id_40,24.4262871592
id_41,8.71357086709
id_42,43.7723981063
id_43,30.6190668845
id_44,62.1517299852
id_45,40.1198254135
id_46,35.4608350088
id_47,24.4334917912
id_48,25.4330864076
id_49,63.8595086475
id_50,25.9142130141
id_51,47.1138849662
id_52,19.9182570363
id_53,32.6241371084
id_54,19.5710657207
id_55,41.7114135613
id_56,41.3621044346
id_57,27.2676902108
id_58,27.0685580647
id_59,14.2757945534
id_60,59.8995098606
id_61,85.1670370761
id_62,36.4593760386
id_63,24.9191119558
id_64,15.8015872463
id_65,43.5599662945
id_66,35.0556225372
id_67,11.2885785879
id_68,55.7585233686
id_69,6.33092447253
id_70,17.7389698549
id_71,21.4172929358
id_72,25.4151563581
id_73,17.4414775113
id_74,45.1838581329
id_75,65.7936370981
id_76,10.1675726732
id_77,39.4466647772
id_78,73.7975834342
id_79,44.525615675
id_80,50.0949211048
id_81,21.9744424775
id_82,13.762907849
id_83,43.6485729726
id_84,10.9264767514
id_85,9.50091715461
id_86,31.2700370795
id_87,88.2479153364
id_88,31.0255188914
id_89,48.1591654827
id_90,17.835936892
id_91,67.116917378
id_92,55.8121706267
id_93,8.32925536688
id_94,23.7413106617
id_95,26.4591794639
id_96,23.7853523783
id_97,3.06702693088
id_98,14.377994083
id_99,38.8842564552
id_100,20.0260787333
id_101,48.1320331484
id_102,32.6806337057
id_103,36.931957329
id_104,33.585810902
id_105,22.1217356927
id_106,16.4108093864
id_107,38.3633423572
id_108,8.77718081054
id_109,72.6744331809
id_110,30.8694542367
id_111,65.9222712452
id_112,23.2146900694
id_113,20.8831189464
id_114,31.7114619121
id_115,34.401259936
id_116,34.087676587
id_117,21.5741014943
id_118,28.8814317917
id_119,45.4478078053
id_120,22.2021038834
id_121,31.2178170591
id_122,72.8259949154
id_123,3.60487917593
id_124,41.7161332845
id_125,4.32507862157
id_126,31.465640117
id_127,17.0221923059
id_128,27.7707932278
id_129,47.3885564387
id_130,6.42873725389
id_131,48.1896055887
id_132,19.75290753
id_133,8.16039413124
id_134,23.7359263086
id_135,29.8442533375
id_136,75.6824189112
id_137,88.2351508446
id_138,27.1462905318
id_139,53.5387042239
id_140,75.9282380864
id_141,19.3177992803
id_142,40.9731339059
id_143,33.4003070188
id_144,27.716646044
id_145,13.703234532
id_146,34.8774727588
id_147,47.8099803587
id_148,31.2888490328
id_149,15.4422302359
id_150,45.2360623728
id_151,35.6083526063
id_152,61.0767727051
id_153,23.9651639114
id_154,12.8120673374
id_155,66.0279375788
id_156,14.5417196384
id_157,25.1516899346
id_158,38.6335083686
id_159,22.5852832584
id_160,13.707617107
id_161,98.0237563706
id_162,57.576700063
id_163,35.3772100847
id_164,37.065287235
id_165,33.3147128299
id_166,56.7785876908
id_167,55.6980991162
id_168,10.1701413433
id_169,22.1852791621
id_170,31.2658877327
id_171,28.8940551767
id_172,29.1408135842
id_173,39.4257590221
id_174,83.6937475927
id_175,53.6886635645
id_176,19.2770072482
id_177,18.8476511206
id_178,56.9619615794
id_179,25.4321489342
id_180,17.6253406675
id_181,27.3749640882
id_182,27.3092103254
id_183,27.7874455665
id_184,7.24026095014
id_185,28.3141967082
id_186,34.9021039609
id_187,46.7962751246
id_188,74.7085979325
id_189,58.2132510313
id_190,8.40068279325
id_191,23.4604177721
id_192,17.2728927871
id_193,28.8215393241
id_194,27.9119657459
id_195,16.0839655722
id_196,14.0642219386
id_197,15.1463777927
id_198,23.7337162371
id_199,13.7555002557
id_200,8.9753294783
id_201,29.7425244772
id_202,34.8798169732
id_203,70.4732471127
id_204,6.18814677061
id_205,17.0303116651
id_206,68.6868100282
